onset,duration,weight,trial_type
3.11,3.50,1,cue-hard
8.23,2.77,1,level5
17.29,3.50,1,cue-hard
22.38,1.74,1,error
31.43,3.50,1,cue-hard
36.51,2.86,1,level5
45.58,3.50,1,cue-easy
50.66,1.52,1,level3
59.73,3.50,1,cue-hard
64.83,4.71,1,level6
73.89,3.50,1,cue-hard
78.96,4.00,1,error
88.03,3.50,1,cue-hard
93.11,3.90,1,level6
102.18,3.50,1,cue-hard
107.26,5.56,1,error
116.33,3.50,1,cue-easy
121.41,2.67,1,level2
130.48,3.50,1,cue-hard
135.56,2.04,1,level4
144.63,3.50,1,cue-easy
149.71,2.95,1,level2
158.78,3.50,1,cue-easy
163.85,2.37,1,error
172.91,3.50,1,cue-easy
178.00,1.48,1,level1
187.06,3.50,1,cue-hard
192.15,3.31,1,level4
201.21,3.50,1,cue-easy
206.30,2.41,1,level3
215.36,3.50,1,cue-easy
220.45,4.28,1,level3
229.51,3.50,1,cue-hard
234.60,3.02,1,level4
243.67,3.50,1,cue-hard
248.75,2.02,1,level4
257.82,3.50,1,cue-easy
262.90,1.09,1,level1
271.97,3.50,1,cue-easy
277.07,1.07,1,level1
286.15,3.50,1,cue-easy
291.23,2.81,1,level2
300.30,3.50,1,cue-hard
305.40,5.23,1,level6
314.48,3.50,1,cue-hard
319.57,1.36,1,level4
328.65,3.50,1,cue-hard
333.73,5.40,1,level6
342.82,3.50,1,cue-easy
347.92,0.89,1,level1
357.00,3.50,1,cue-hard
362.08,6.00,1,error
371.17,3.50,1,cue-easy
376.27,2.54,1,level2
385.35,3.50,1,cue-easy
390.45,1.86,1,level2
399.52,3.50,1,cue-easy
404.62,1.05,1,level1
413.70,3.50,1,cue-easy
418.80,2.23,1,level3
427.87,3.50,1,cue-easy
432.97,2.42,1,level2
442.05,3.50,1,cue-hard
447.15,3.10,1,error
456.24,3.50,1,cue-hard
461.32,3.61,1,level5
470.39,3.50,1,cue-easy
475.47,1.01,1,level1
484.54,3.50,1,cue-hard
489.62,6.00,1,error
498.70,3.50,1,cue-easy
503.79,2.28,1,level3
512.85,3.50,1,cue-hard
517.95,6.00,1,error
