onset,duration,weight,trial_type
3.09,3.50,1,cue-easy
8.20,1.53,1,level1
17.26,3.50,1,cue-hard
22.32,1.94,1,level5
31.37,3.50,1,cue-easy
36.46,1.19,1,level1
45.51,3.50,1,cue-hard
50.57,2.88,1,error
59.64,3.50,1,cue-hard
64.72,3.04,1,level4
73.77,3.50,1,cue-easy
78.84,2.09,1,level2
87.89,3.50,1,cue-hard
92.96,3.72,1,level5
102.02,3.50,1,cue-easy
107.09,2.55,1,level3
116.16,3.50,1,cue-easy
121.22,2.01,1,level2
130.27,3.50,1,cue-easy
135.36,1.56,1,level2
144.41,3.50,1,cue-easy
149.47,0.99,1,level1
158.54,3.50,1,cue-hard
163.63,3.94,1,error
172.68,3.50,1,cue-easy
177.76,2.90,1,level2
186.83,3.50,1,cue-hard
191.89,2.19,1,level6
200.94,3.50,1,cue-hard
206.01,4.24,1,error
215.06,3.50,1,cue-hard
220.13,4.13,1,level5
229.18,3.50,1,cue-easy
234.26,1.32,1,level2
243.31,3.50,1,cue-easy
248.39,2.53,1,level3
257.44,3.50,1,cue-easy
262.51,1.23,1,level1
271.58,3.50,1,cue-easy
276.66,1.39,1,level1
285.73,3.50,1,cue-easy
290.81,1.61,1,level3
299.88,3.50,1,cue-hard
304.96,2.74,1,level5
314.03,3.50,1,cue-hard
319.11,2.05,1,level4
328.18,3.50,1,cue-easy
333.26,2.58,1,level3
342.33,3.50,1,cue-easy
347.41,2.60,1,level3
356.48,3.50,1,cue-hard
361.56,4.84,1,level6
370.63,3.50,1,cue-hard
375.71,1.88,1,level5
384.78,3.50,1,cue-hard
389.86,3.27,1,level5
398.93,3.50,1,cue-hard
404.01,5.82,1,level6
413.08,3.50,1,cue-easy
418.16,2.80,1,level3
427.25,3.50,1,cue-hard
432.33,3.63,1,level4
441.40,3.50,1,cue-hard
446.48,5.25,1,level6
455.55,3.50,1,cue-hard
460.63,3.55,1,level6
469.70,3.50,1,cue-easy
474.78,1.26,1,level1
483.85,3.50,1,cue-easy
488.93,1.57,1,error
498.00,3.50,1,cue-hard
503.08,2.36,1,level4
512.15,3.50,1,cue-easy
517.23,1.01,1,level1
