onset,duration,weight,trial_type
3.09,3.50,1,cue-easy
8.21,1.28,1,level1
17.27,3.50,1,cue-hard
22.36,2.98,1,level6
31.41,3.50,1,cue-easy
36.47,3.41,1,level3
45.52,3.50,1,cue-easy
50.61,3.74,1,error
59.67,3.50,1,cue-hard
64.74,4.26,1,level5
73.79,3.50,1,cue-hard
78.87,3.75,1,level6
87.94,3.50,1,cue-easy
93.01,1.69,1,level2
102.06,3.50,1,cue-easy
107.14,3.21,1,level3
116.19,3.50,1,cue-easy
121.26,1.09,1,level1
130.31,3.50,1,cue-hard
135.38,4.20,1,level5
144.43,3.50,1,cue-hard
149.49,2.04,1,level4
158.54,3.50,1,cue-hard
163.63,6.00,1,error
172.69,3.50,1,cue-hard
177.76,2.73,1,level4
186.81,3.50,1,cue-hard
191.88,4.03,1,error
200.93,3.50,1,cue-hard
205.99,4.43,1,level5
215.04,3.50,1,cue-easy
220.11,1.06,1,level1
229.16,3.50,1,cue-easy
234.24,1.40,1,level1
243.29,3.50,1,cue-easy
248.38,2.68,1,level2
257.45,3.50,1,cue-hard
262.51,2.99,1,level5
271.56,3.50,1,cue-easy
276.63,2.79,1,level3
285.70,3.50,1,cue-hard
290.78,2.58,1,level4
299.85,3.50,1,cue-easy
304.93,1.62,1,level2
314.00,3.50,1,cue-easy
319.08,0.84,1,level1
328.15,3.50,1,cue-hard
333.23,3.56,1,level4
342.30,3.50,1,cue-easy
347.38,2.67,1,level3
356.45,3.50,1,cue-easy
361.53,2.19,1,level2
370.60,3.50,1,cue-easy
375.68,4.49,1,error
384.75,3.50,1,cue-hard
389.83,6.00,1,error
398.92,3.50,1,cue-hard
404.00,4.16,1,level6
413.05,3.50,1,cue-hard
418.13,4.39,1,level5
427.20,3.50,1,cue-easy
432.28,1.65,1,level2
441.35,3.50,1,cue-hard
446.43,2.68,1,level4
455.50,3.50,1,cue-hard
460.58,1.88,1,level4
469.65,3.50,1,cue-easy
474.73,0.98,1,level1
483.80,3.50,1,cue-easy
488.88,1.64,1,level3
497.95,3.50,1,cue-hard
503.03,5.37,1,level6
512.10,3.50,1,cue-easy
517.18,0.84,1,level1
