onset,duration,weight,trial_type
3.09,3.50,1,cue-easy
8.19,0.91,1,level1
17.26,3.50,1,cue-hard
22.34,2.13,1,level5
31.39,3.50,1,cue-hard
36.46,2.87,1,level5
45.51,3.50,1,cue-easy
50.57,1.71,1,level3
59.62,3.50,1,cue-hard
64.69,4.79,1,level5
73.76,3.50,1,cue-hard
78.84,2.17,1,level6
87.91,3.50,1,cue-hard
92.99,3.37,1,level4
102.06,3.50,1,cue-hard
107.12,4.36,1,level6
116.17,3.50,1,cue-easy
121.24,2.13,1,level2
130.29,3.50,1,cue-hard
135.38,3.22,1,level5
144.43,3.50,1,cue-easy
149.49,2.85,1,level2
158.54,3.50,1,cue-hard
163.61,2.89,1,level4
172.68,3.50,1,cue-hard
177.74,2.49,1,level5
186.81,3.50,1,cue-easy
191.88,0.99,1,level1
200.93,3.50,1,cue-easy
205.99,2.95,1,level2
215.06,3.50,1,cue-easy
220.13,3.67,1,level3
229.19,3.50,1,cue-easy
234.26,2.38,1,level3
243.33,3.50,1,cue-hard
248.39,1.93,1,level4
257.44,3.50,1,cue-easy
262.53,0.93,1,level1
271.58,3.50,1,cue-hard
276.65,2.91,1,level4
285.71,3.50,1,cue-hard
290.80,3.12,1,error
299.86,3.50,1,cue-easy
304.95,2.78,1,level3
314.01,3.50,1,cue-easy
319.10,1.51,1,level1
328.16,3.50,1,cue-easy
333.25,2.23,1,level3
342.30,3.50,1,cue-hard
347.38,3.28,1,level6
356.45,3.50,1,cue-easy
361.53,2.84,1,level3
370.60,3.50,1,cue-easy
375.68,1.90,1,level2
384.75,3.50,1,cue-easy
389.83,1.66,1,level2
398.90,3.50,1,cue-hard
403.98,3.02,1,level6
413.07,3.50,1,cue-easy
418.15,0.96,1,level1
427.22,3.50,1,cue-hard
432.30,3.98,1,level6
441.35,3.50,1,cue-hard
446.43,5.04,1,level6
455.50,3.50,1,cue-hard
460.58,4.35,1,level5
469.65,3.50,1,cue-hard
474.73,2.41,1,level4
483.80,3.50,1,cue-easy
488.88,4.09,1,level2
497.95,3.50,1,cue-easy
503.03,0.92,1,level1
512.10,3.50,1,cue-easy
517.18,0.85,1,level1
