onset,duration,weight,trial_type
3.09,3.50,1,cue-easy
8.21,1.18,1,level2
17.27,3.50,1,cue-easy
22.36,0.79,1,level1
31.43,3.50,1,cue-easy
36.51,1.08,1,level2
45.58,3.50,1,cue-hard
50.66,4.18,1,level5
59.73,3.50,1,cue-hard
64.81,1.33,1,level4
73.88,3.50,1,cue-hard
78.96,3.43,1,error
88.03,3.50,1,cue-hard
93.09,2.73,1,level5
102.16,3.50,1,cue-hard
107.24,3.03,1,error
116.31,3.50,1,cue-hard
121.39,2.12,1,level4
130.46,3.50,1,cue-hard
135.54,3.91,1,level6
144.61,3.50,1,cue-hard
149.68,3.14,1,error
158.74,3.50,1,cue-easy
163.83,1.64,1,level2
172.90,3.50,1,cue-easy
177.96,3.27,1,level2
187.03,3.50,1,cue-hard
192.11,2.63,1,level4
201.18,3.50,1,cue-hard
206.26,3.00,1,error
215.33,3.50,1,cue-easy
220.41,1.65,1,level2
229.48,3.50,1,cue-easy
234.56,2.56,1,level3
243.63,3.50,1,cue-hard
248.71,3.19,1,error
257.78,3.50,1,cue-easy
262.86,2.28,1,level3
271.93,3.50,1,cue-easy
277.01,2.68,1,error
286.10,3.50,1,cue-hard
291.18,3.34,1,error
300.26,3.50,1,cue-easy
305.35,0.82,1,level1
314.42,3.50,1,cue-hard
319.50,2.14,1,level4
328.58,3.50,1,cue-easy
333.68,3.33,1,level3
342.75,3.50,1,cue-easy
347.85,0.84,1,level1
356.92,3.50,1,cue-easy
362.02,0.72,1,level1
371.10,3.50,1,cue-easy
376.18,2.48,1,level3
385.25,3.50,1,cue-hard
390.35,3.45,1,level6
399.42,3.50,1,cue-hard
404.50,3.19,1,level5
413.57,3.50,1,cue-easy
418.67,0.84,1,level1
427.73,3.50,1,cue-hard
432.83,4.32,1,error
441.92,3.50,1,cue-easy
447.00,1.52,1,level2
456.07,3.50,1,cue-hard
461.17,2.34,1,level6
470.25,3.50,1,cue-easy
475.34,0.77,1,level1
484.42,3.50,1,cue-hard
489.52,3.09,1,error
498.59,3.50,1,cue-easy
503.67,2.29,1,level3
512.74,3.50,1,cue-easy
517.84,1.47,1,level2
