onset,duration,weight,trial_type
3.09,3.50,1,cue-first
8.19,4.42,1,task-first
17.26,3.50,1,cue-hard_hard
22.34,4.60,1,error
31.41,3.50,1,cue-hard_easy
36.47,3.06,1,task-hard_easy
45.53,3.50,1,cue-easy_hard
50.61,4.49,1,error
59.68,3.50,1,cue-hard_hard
64.76,4.45,1,task-hard_hard
73.81,3.50,1,cue-hard_hard
78.88,3.02,1,error
87.94,3.50,1,cue-hard_easy
93.03,1.17,1,task-hard_easy
102.09,3.50,1,cue-easy_easy
107.16,1.18,1,task-easy_easy
116.21,3.50,1,cue-easy_easy
121.29,2.75,1,task-easy_easy
130.34,3.50,1,cue-easy_hard
135.43,4.22,1,task-easy_hard
144.49,3.50,1,cue-hard_hard
149.56,4.13,1,task-hard_hard
158.63,3.50,1,cue-hard_hard
163.71,3.35,1,task-hard_hard
172.76,3.50,1,cue-hard_easy
177.83,1.23,1,task-hard_easy
186.90,3.50,1,cue-easy_easy
191.98,4.39,1,task-easy_easy
201.05,3.50,1,cue-easy_easy
206.11,3.28,1,task-easy_easy
215.16,3.50,1,cue-easy_easy
220.25,1.21,1,task-easy_easy
229.31,3.50,1,cue-easy_easy
234.40,1.99,1,error
243.46,3.50,1,cue-easy_easy
248.55,4.20,1,task-easy_easy
257.61,3.50,1,cue-easy_hard
262.70,3.68,1,task-easy_hard
271.76,3.50,1,cue-hard_easy
276.86,0.88,1,task-hard_easy
285.95,3.50,1,cue-easy_hard
291.03,1.92,1,task-easy_hard
300.10,3.50,1,cue-hard_hard
305.18,3.18,1,task-hard_hard
314.26,3.50,1,cue-hard_easy
319.36,2.66,1,task-hard_easy
328.43,3.50,1,cue-easy_hard
333.53,5.80,1,task-easy_hard
342.62,3.50,1,cue-hard_hard
347.72,4.54,1,error
356.78,3.50,1,cue-hard_easy
361.88,4.45,1,task-hard_easy
370.97,3.50,1,cue-easy_hard
376.05,3.82,1,task-easy_hard
385.13,3.50,1,cue-hard_easy
390.22,0.93,1,task-hard_easy
399.30,3.50,1,cue-easy_hard
404.38,5.71,1,task-easy_hard
413.47,3.50,1,cue-hard_hard
418.55,5.88,1,task-hard_hard
427.63,3.50,1,cue-hard_easy
432.72,2.67,1,task-hard_easy
441.78,3.50,1,cue-easy_easy
446.88,2.25,1,task-easy_easy
455.97,3.50,1,cue-easy_hard
461.07,2.21,1,task-easy_hard
470.14,3.50,1,cue-hard_easy
475.24,6.00,1,error
484.32,3.50,1,cue-easy_easy
489.40,0.92,1,task-easy_easy
498.49,3.50,1,cue-easy_hard
503.59,4.30,1,task-easy_hard
512.67,3.50,1,cue-hard_hard
517.77,2.14,1,task-hard_hard
