onset,duration,weight,trial_type
3.10,3.50,1,cue-easy
8.20,2.21,1,level3
17.27,3.50,1,cue-hard
22.36,4.53,1,level5
31.42,3.50,1,cue-easy
36.51,2.69,1,level2
45.57,3.50,1,cue-hard
50.64,2.11,1,level4
59.69,3.50,1,cue-easy
64.76,2.93,1,level2
73.81,3.50,1,cue-easy
78.87,1.61,1,level1
87.92,3.50,1,cue-hard
92.99,4.79,1,error
102.04,3.50,1,cue-hard
107.11,5.51,1,level5
116.16,3.50,1,cue-hard
121.24,3.49,1,level5
130.29,3.50,1,cue-easy
135.36,4.20,1,level3
144.42,3.50,1,cue-easy
149.49,0.88,1,level1
158.54,3.50,1,cue-easy
163.63,0.97,1,level1
172.69,3.50,1,cue-hard
177.76,1.39,1,level4
186.81,3.50,1,cue-hard
191.89,4.17,1,level6
200.96,3.50,1,cue-easy
206.04,1.64,1,level2
215.09,3.50,1,cue-hard
220.16,3.94,1,level5
229.21,3.50,1,cue-hard
234.28,4.35,1,level6
243.34,3.50,1,cue-hard
248.43,2.51,1,error
257.48,3.50,1,cue-hard
262.54,2.21,1,error
271.59,3.50,1,cue-hard
276.68,3.23,1,level4
285.74,3.50,1,cue-hard
290.83,1.83,1,level4
299.89,3.50,1,cue-easy
304.98,1.68,1,error
314.05,3.50,1,cue-easy
319.13,2.55,1,level3
328.20,3.50,1,cue-hard
333.28,4.73,1,level6
342.35,3.50,1,cue-easy
347.43,1.13,1,level1
356.50,3.50,1,cue-hard
361.58,5.37,1,error
370.65,3.50,1,cue-easy
375.73,0.78,1,level1
384.80,3.50,1,cue-easy
389.88,1.74,1,level2
398.95,3.50,1,cue-easy
404.03,0.95,1,level2
413.08,3.50,1,cue-easy
418.16,0.89,1,error
427.23,3.50,1,cue-easy
432.31,2.12,1,level2
441.38,3.50,1,cue-hard
446.47,4.08,1,level6
455.55,3.50,1,cue-hard
460.63,4.22,1,level6
469.70,3.50,1,cue-easy
474.78,2.76,1,level3
483.85,3.50,1,cue-hard
488.93,1.75,1,level4
497.98,3.50,1,cue-easy
503.07,1.59,1,error
512.13,3.50,1,cue-easy
517.22,3.57,1,error
