onset,duration,weight,trial_type
3.09,3.50,1,cue-hard
8.21,3.64,1,level4
17.27,3.50,1,cue-easy
22.36,2.03,1,level3
31.43,3.50,1,cue-easy
36.51,0.82,1,level1
45.58,3.50,1,cue-easy
50.66,0.91,1,level1
59.73,3.50,1,cue-hard
64.81,5.48,1,level5
73.86,3.50,1,cue-easy
78.94,4.41,1,level3
88.01,3.50,1,cue-easy
93.09,3.13,1,level3
102.16,3.50,1,cue-hard
107.23,4.77,1,level4
116.29,3.50,1,cue-easy
121.38,1.04,1,level1
130.44,3.50,1,cue-easy
135.51,3.97,1,level3
144.58,3.50,1,cue-hard
149.66,6.00,1,error
158.73,3.50,1,cue-hard
163.81,4.43,1,level6
172.88,3.50,1,cue-hard
177.95,2.56,1,level5
187.00,3.50,1,cue-hard
192.08,4.34,1,level5
201.15,3.50,1,cue-easy
206.23,3.98,1,level2
215.30,3.50,1,cue-hard
220.36,5.28,1,level6
229.41,3.50,1,cue-easy
234.48,2.02,1,level2
243.55,3.50,1,cue-easy
248.61,2.36,1,level1
257.68,3.50,1,cue-hard
262.76,5.29,1,level6
271.83,3.50,1,cue-easy
276.91,3.53,1,level3
285.98,3.50,1,cue-hard
291.06,3.42,1,level6
300.13,3.50,1,cue-easy
305.23,2.11,1,level1
314.30,3.50,1,cue-easy
319.38,1.82,1,level2
328.47,3.50,1,cue-easy
333.55,2.32,1,level3
342.63,3.50,1,cue-easy
347.72,2.39,1,level2
356.78,3.50,1,cue-easy
361.88,6.00,1,error
370.97,3.50,1,cue-hard
376.05,3.38,1,error
385.12,3.50,1,cue-easy
390.20,0.73,1,level1
399.28,3.50,1,cue-hard
404.38,1.94,1,level4
413.47,3.50,1,cue-hard
418.57,2.31,1,error
427.63,3.50,1,cue-hard
432.73,5.66,1,level6
441.80,3.50,1,cue-hard
446.90,3.32,1,level6
455.99,3.50,1,cue-hard
461.09,2.46,1,level4
470.15,3.50,1,cue-hard
475.25,2.91,1,level5
484.32,3.50,1,cue-hard
489.42,2.02,1,level4
498.50,3.50,1,cue-easy
503.59,2.39,1,level2
512.67,3.50,1,cue-hard
517.77,3.18,1,error
