onset,duration,weight,trial_type
3.09,3.50,1,cue-easy
8.19,0.84,1,level1
17.26,3.50,1,cue-hard
22.32,2.75,1,level5
31.37,3.50,1,cue-hard
36.46,3.29,1,level5
45.51,3.50,1,cue-easy
50.57,1.10,1,level2
59.64,3.50,1,cue-hard
64.72,1.80,1,level4
73.77,3.50,1,cue-hard
78.84,3.82,1,level6
87.91,3.50,1,cue-easy
92.99,1.06,1,level2
102.04,3.50,1,cue-easy
107.12,1.23,1,level2
116.17,3.50,1,cue-hard
121.26,3.30,1,level5
130.32,3.50,1,cue-easy
135.41,2.08,1,level3
144.46,3.50,1,cue-easy
149.54,0.80,1,level1
158.59,3.50,1,cue-hard
163.68,3.91,1,level6
172.73,3.50,1,cue-hard
177.79,3.34,1,level5
186.84,3.50,1,cue-hard
191.93,3.27,1,level4
200.98,3.50,1,cue-hard
206.06,4.43,1,error
215.11,3.50,1,cue-hard
220.18,4.27,1,level5
229.24,3.50,1,cue-easy
234.31,0.79,1,level1
243.38,3.50,1,cue-easy
248.46,2.44,1,level2
257.53,3.50,1,cue-easy
262.59,2.22,1,level3
271.66,3.50,1,cue-easy
276.73,1.77,1,level3
285.79,3.50,1,cue-easy
290.88,0.90,1,level2
299.95,3.50,1,cue-easy
305.03,0.69,1,level1
314.10,3.50,1,cue-easy
319.18,0.80,1,level1
328.26,3.50,1,cue-hard
333.35,2.37,1,level4
342.41,3.50,1,cue-easy
347.50,2.34,1,level2
356.56,3.50,1,cue-hard
361.65,4.25,1,level6
370.71,3.50,1,cue-easy
375.80,2.02,1,level3
384.86,3.50,1,cue-hard
389.96,3.62,1,error
399.03,3.50,1,cue-hard
404.11,1.84,1,level4
413.18,3.50,1,cue-easy
418.28,0.93,1,level1
427.35,3.50,1,cue-easy
432.43,1.98,1,level3
441.50,3.50,1,cue-hard
446.60,3.73,1,level4
455.67,3.50,1,cue-easy
460.77,3.16,1,level3
469.83,3.50,1,cue-hard
474.92,4.98,1,level5
483.98,3.50,1,cue-hard
489.07,3.57,1,level6
498.15,3.50,1,cue-hard
503.23,3.33,1,level6
512.32,3.50,1,cue-easy
517.40,0.76,1,level1
