onset,duration,weight,trial_type
3.09,3.50,1,cue-first
8.19,1.51,1,task-first
17.26,3.50,1,cue-easy_easy
22.34,1.76,1,task-easy_easy
31.41,3.50,1,cue-easy_hard
36.49,2.85,1,task-easy_hard
45.56,3.50,1,cue-hard_easy
50.63,1.95,1,task-hard_easy
59.69,3.50,1,cue-easy_hard
64.78,2.79,1,task-easy_hard
73.83,3.50,1,cue-hard_easy
78.91,2.12,1,task-hard_easy
87.98,3.50,1,cue-easy_hard
93.06,1.69,1,error
102.13,3.50,1,cue-hard_easy
107.21,1.52,1,task-hard_easy
116.28,3.50,1,cue-easy_easy
121.36,0.81,1,task-easy_easy
130.43,3.50,1,cue-easy_hard
135.51,5.03,1,task-easy_hard
144.56,3.50,1,cue-hard_hard
149.64,4.13,1,task-hard_hard
158.71,3.50,1,cue-hard_easy
163.79,1.50,1,task-hard_easy
172.84,3.50,1,cue-easy_hard
177.93,4.80,1,error
187.00,3.50,1,cue-hard_hard
192.06,2.83,1,task-hard_hard
201.13,3.50,1,cue-hard_hard
206.21,3.99,1,task-hard_hard
215.26,3.50,1,cue-hard_hard
220.35,3.26,1,task-hard_hard
229.41,3.50,1,cue-hard_hard
234.50,1.95,1,task-hard_hard
243.56,3.50,1,cue-hard_easy
248.65,0.85,1,task-hard_easy
257.71,3.50,1,cue-easy_hard
262.80,3.04,1,task-easy_hard
271.86,3.50,1,cue-hard_hard
276.95,2.06,1,task-hard_hard
286.03,3.50,1,cue-hard_easy
291.11,0.97,1,task-hard_easy
300.20,3.50,1,cue-easy_easy
305.30,2.06,1,task-easy_easy
314.36,3.50,1,cue-easy_hard
319.45,3.62,1,task-easy_hard
328.53,3.50,1,cue-hard_hard
333.61,2.70,1,task-hard_hard
342.70,3.50,1,cue-hard_hard
347.78,3.53,1,task-hard_hard
356.87,3.50,1,cue-hard_hard
361.95,2.03,1,task-hard_hard
371.03,3.50,1,cue-hard_easy
376.12,0.75,1,task-hard_easy
385.18,3.50,1,cue-easy_easy
390.27,0.72,1,task-easy_easy
399.35,3.50,1,cue-easy_easy
404.45,2.10,1,task-easy_easy
413.53,3.50,1,cue-easy_hard
418.62,1.99,1,task-easy_hard
427.68,3.50,1,cue-hard_easy
432.77,0.74,1,task-hard_easy
441.85,3.50,1,cue-easy_hard
446.95,3.48,1,task-easy_hard
456.03,3.50,1,cue-hard_easy
461.12,2.57,1,task-hard_easy
470.18,3.50,1,cue-easy_easy
475.27,0.78,1,task-easy_easy
484.35,3.50,1,cue-easy_easy
489.44,1.76,1,task-easy_easy
498.50,3.50,1,cue-easy_easy
503.60,1.65,1,task-easy_easy
512.69,3.50,1,cue-easy_easy
517.77,1.51,1,task-easy_easy
