onset,duration,weight,trial_type
3.10,3.50,1,cue-hard
8.21,3.16,1,level5
17.28,3.50,1,cue-hard
22.37,3.39,1,level5
31.43,3.50,1,cue-easy
36.52,2.63,1,level2
45.58,3.50,1,cue-easy
50.67,0.75,1,level1
59.73,3.50,1,cue-easy
64.80,1.82,1,level2
73.87,3.50,1,cue-easy
78.95,2.48,1,level3
88.02,3.50,1,cue-easy
93.10,0.77,1,level1
102.17,3.50,1,cue-easy
107.25,2.44,1,level3
116.32,3.50,1,cue-easy
121.40,1.52,1,level2
130.47,3.50,1,cue-easy
135.53,1.75,1,level2
144.60,3.50,1,cue-hard
149.68,2.81,1,level5
158.75,3.50,1,cue-hard
163.84,3.22,1,level6
172.90,3.50,1,cue-easy
177.97,1.03,1,level1
187.04,3.50,1,cue-hard
192.12,3.31,1,level6
201.19,3.50,1,cue-easy
206.27,2.15,1,level3
215.34,3.50,1,cue-easy
220.42,2.19,1,level3
229.49,3.50,1,cue-hard
234.57,3.93,1,level5
243.62,3.50,1,cue-hard
248.70,2.76,1,level4
257.77,3.50,1,cue-hard
262.85,2.04,1,level4
271.92,3.50,1,cue-easy
277.02,0.90,1,level1
286.10,3.50,1,cue-easy
291.19,0.77,1,level1
300.27,3.50,1,cue-hard
305.35,1.77,1,level4
314.44,3.50,1,cue-easy
319.52,1.90,1,level3
328.61,3.50,1,cue-hard
333.69,3.41,1,level4
342.76,3.50,1,cue-hard
347.84,4.26,1,level6
356.91,3.50,1,cue-hard
361.99,5.12,1,level6
371.07,3.50,1,cue-hard
376.16,1.59,1,level4
385.24,3.50,1,cue-easy
390.34,2.37,1,level2
399.42,3.50,1,cue-hard
404.52,3.49,1,error
413.61,3.50,1,cue-hard
418.71,3.49,1,level5
427.79,3.50,1,cue-easy
432.87,3.86,1,level3
441.96,3.50,1,cue-hard
447.06,3.63,1,level6
456.13,3.50,1,cue-easy
461.21,1.40,1,level2
470.28,3.50,1,cue-hard
475.36,3.54,1,level4
484.43,3.50,1,cue-hard
489.53,4.23,1,level5
498.59,3.50,1,cue-easy
503.68,0.86,1,level1
512.74,3.50,1,cue-hard
517.83,3.43,1,level5
