onset,duration,weight,trial_type
3.10,3.50,1,cue-hard
8.22,6.00,1,level5
17.28,3.50,1,cue-easy
22.35,2.58,1,error
31.42,3.50,1,cue-easy
36.50,2.61,1,level3
45.57,3.50,1,cue-easy
50.63,1.52,1,level1
59.70,3.50,1,cue-easy
64.78,1.56,1,level1
73.85,3.50,1,cue-hard
78.94,5.52,1,level5
88.00,3.50,1,cue-hard
93.09,5.06,1,error
102.15,3.50,1,cue-hard
107.24,4.74,1,level4
116.30,3.50,1,cue-easy
121.37,1.48,1,level1
130.42,3.50,1,cue-easy
135.50,2.88,1,error
144.57,3.50,1,cue-easy
149.65,2.78,1,level2
158.70,3.50,1,cue-hard
163.79,6.00,1,error
172.85,3.50,1,cue-easy
177.92,4.89,1,error
186.99,3.50,1,cue-hard
192.07,3.47,1,level4
201.14,3.50,1,cue-hard
206.21,2.26,1,level4
215.27,3.50,1,cue-hard
220.34,2.67,1,level5
229.41,3.50,1,cue-hard
234.47,3.39,1,level4
243.54,3.50,1,cue-easy
248.62,1.46,1,level2
257.69,3.50,1,cue-easy
262.77,2.66,1,level3
271.84,3.50,1,cue-hard
276.92,3.70,1,level5
286.01,3.50,1,cue-hard
291.09,3.66,1,level5
300.16,3.50,1,cue-easy
305.24,1.67,1,level2
314.31,3.50,1,cue-hard
319.41,3.97,1,level4
328.47,3.50,1,cue-easy
333.56,3.92,1,level3
342.64,3.50,1,cue-hard
347.73,6.00,1,error
356.81,3.50,1,cue-hard
361.91,5.53,1,level6
370.98,3.50,1,cue-easy
376.08,1.13,1,level1
385.14,3.50,1,cue-hard
390.24,4.70,1,level6
399.33,3.50,1,cue-easy
404.43,2.37,1,level2
413.51,3.50,1,cue-easy
418.59,0.91,1,level1
427.66,3.50,1,cue-easy
432.76,4.29,1,level3
441.83,3.50,1,cue-easy
446.93,3.10,1,level2
455.99,3.50,1,cue-hard
461.09,4.63,1,level5
470.16,3.50,1,cue-easy
475.24,1.17,1,level1
484.33,3.50,1,cue-hard
489.43,2.59,1,level4
498.50,3.50,1,cue-hard
503.60,4.01,1,error
512.66,3.50,1,cue-hard
517.76,5.15,1,error
