onset,duration,weight,trial_type
3.09,3.50,1,cue-easy
8.19,1.20,1,level1
17.26,3.50,1,cue-hard
22.34,3.94,1,level6
31.39,3.50,1,cue-easy
36.48,1.65,1,level1
45.54,3.50,1,cue-hard
50.63,3.90,1,level4
59.69,3.50,1,cue-hard
64.78,6.00,1,error
73.84,3.50,1,cue-hard
78.93,4.14,1,level5
87.98,3.50,1,cue-easy
93.04,3.00,1,level2
102.11,3.50,1,cue-easy
107.18,2.69,1,level2
116.24,3.50,1,cue-hard
121.33,4.57,1,error
130.39,3.50,1,cue-easy
135.46,2.09,1,level3
144.53,3.50,1,cue-hard
149.61,6.00,1,error
158.68,3.50,1,cue-hard
163.75,2.13,1,level4
172.81,3.50,1,cue-hard
177.90,6.00,1,error
186.96,3.50,1,cue-hard
192.05,2.85,1,level4
201.11,3.50,1,cue-hard
206.20,4.34,1,error
215.26,3.50,1,cue-easy
220.35,2.11,1,level2
229.41,3.50,1,cue-hard
234.50,2.86,1,level5
243.56,3.50,1,cue-hard
248.63,4.51,1,error
257.70,3.50,1,cue-hard
262.78,5.69,1,error
271.85,3.50,1,cue-easy
276.95,3.51,1,level3
286.03,3.50,1,cue-easy
291.12,6.00,1,error
300.20,3.50,1,cue-hard
305.28,4.81,1,level6
314.37,3.50,1,cue-hard
319.47,3.96,1,level5
328.53,3.50,1,cue-easy
333.62,1.17,1,level1
342.70,3.50,1,cue-hard
347.78,3.56,1,level5
356.87,3.50,1,cue-easy
361.97,2.33,1,level3
371.03,3.50,1,cue-easy
376.12,1.31,1,level1
385.20,3.50,1,cue-easy
390.28,2.65,1,error
399.37,3.50,1,cue-easy
404.47,1.93,1,level3
413.55,3.50,1,cue-easy
418.64,1.54,1,level2
427.70,3.50,1,cue-hard
432.80,3.68,1,level6
441.87,3.50,1,cue-easy
446.95,2.95,1,level2
456.04,3.50,1,cue-easy
461.14,1.24,1,level1
470.20,3.50,1,cue-easy
475.29,2.41,1,level3
484.37,3.50,1,cue-hard
489.45,2.68,1,level4
498.52,3.50,1,cue-easy
503.60,1.26,1,level1
512.67,3.50,1,cue-easy
517.75,0.99,1,level1
