onset,duration,weight,trial_type
3.09,3.50,1,cue-hard
8.19,2.82,1,level5
17.26,3.50,1,cue-hard
22.34,3.07,1,level5
31.41,3.50,1,cue-hard
36.49,1.98,1,level4
45.56,3.50,1,cue-easy
50.64,1.56,1,level2
59.71,3.50,1,cue-easy
64.79,1.15,1,level2
73.86,3.50,1,cue-hard
78.94,4.27,1,level5
88.01,3.50,1,cue-easy
93.09,1.95,1,level3
102.16,3.50,1,cue-easy
107.23,1.95,1,level3
116.29,3.50,1,cue-hard
121.38,4.12,1,level5
130.44,3.50,1,cue-hard
135.53,4.02,1,level6
144.60,3.50,1,cue-hard
149.68,4.86,1,level5
158.73,3.50,1,cue-easy
163.81,1.00,1,level1
172.88,3.50,1,cue-easy
177.96,2.79,1,level2
187.03,3.50,1,cue-easy
192.10,0.90,1,level1
201.15,3.50,1,cue-hard
206.23,3.26,1,level6
215.30,3.50,1,cue-easy
220.38,1.94,1,level3
229.45,3.50,1,cue-hard
234.53,1.90,1,level4
243.60,3.50,1,cue-easy
248.68,0.79,1,level1
257.75,3.50,1,cue-easy
262.81,3.83,1,error
271.86,3.50,1,cue-easy
276.96,0.90,1,level1
286.03,3.50,1,cue-easy
291.12,1.32,1,level1
300.18,3.50,1,cue-hard
305.28,4.26,1,level5
314.35,3.50,1,cue-easy
319.43,1.88,1,level2
328.52,3.50,1,cue-hard
333.60,4.25,1,level4
342.68,3.50,1,cue-hard
347.77,3.25,1,level6
356.83,3.50,1,cue-hard
361.92,1.73,1,level4
370.98,3.50,1,cue-easy
376.07,3.50,1,level3
385.15,3.50,1,cue-easy
390.23,0.93,1,level2
399.32,3.50,1,cue-easy
404.40,2.46,1,level3
413.47,3.50,1,cue-hard
418.57,3.81,1,level6
427.63,3.50,1,cue-easy
432.73,1.05,1,level2
441.82,3.50,1,cue-hard
446.90,3.22,1,level6
455.97,3.50,1,cue-hard
461.05,3.31,1,level6
470.12,3.50,1,cue-easy
475.22,0.89,1,level1
484.29,3.50,1,cue-hard
489.37,2.08,1,level4
498.44,3.50,1,cue-hard
503.54,3.09,1,level4
512.60,3.50,1,cue-hard
517.69,3.51,1,level5
