onset,duration,weight,trial_type
0.00,0.00,0,error
3.10,3.50,1,cue-easy
8.22,0.93,1,level2
17.28,3.50,1,cue-easy
22.37,2.60,1,level3
31.44,3.50,1,cue-easy
36.52,1.84,1,level2
45.59,3.50,1,cue-hard
50.67,3.08,1,level5
59.74,3.50,1,cue-hard
64.82,2.60,1,level6
73.89,3.50,1,cue-easy
78.95,2.80,1,level2
88.02,3.50,1,cue-easy
93.10,2.03,1,level2
102.17,3.50,1,cue-hard
107.25,2.59,1,level6
116.32,3.50,1,cue-easy
121.40,0.86,1,level1
130.47,3.50,1,cue-hard
135.55,3.29,1,level5
144.62,3.50,1,cue-easy
149.69,3.32,1,level3
158.75,3.50,1,cue-hard
163.82,3.25,1,level5
172.89,3.50,1,cue-hard
177.97,3.09,1,level5
187.04,3.50,1,cue-hard
192.12,2.74,1,level4
201.19,3.50,1,cue-hard
206.27,3.36,1,level6
215.34,3.50,1,cue-hard
220.42,2.42,1,level4
229.49,3.50,1,cue-easy
234.57,2.10,1,level3
243.64,3.50,1,cue-easy
248.72,0.78,1,level1
257.77,3.50,1,cue-hard
262.86,3.74,1,level6
271.92,3.50,1,cue-hard
277.01,2.47,1,level5
286.09,3.50,1,cue-easy
291.17,0.80,1,level1
300.26,3.50,1,cue-hard
305.34,2.75,1,level4
314.43,3.50,1,cue-hard
319.53,3.57,1,level5
328.59,3.50,1,cue-easy
333.69,1.87,1,level2
342.76,3.50,1,cue-easy
347.84,0.82,1,level1
356.93,3.50,1,cue-easy
362.01,0.81,1,level1
371.08,3.50,1,cue-easy
376.18,2.89,1,level3
385.24,3.50,1,cue-hard
390.33,3.11,1,level6
399.39,3.50,1,cue-hard
404.49,2.87,1,level6
413.56,3.50,1,cue-easy
418.66,2.40,1,level3
427.73,3.50,1,cue-easy
432.83,1.36,1,level3
441.89,3.50,1,cue-hard
446.99,1.74,1,level4
456.08,3.50,1,cue-easy
461.18,1.14,1,level2
470.25,3.50,1,cue-hard
475.33,2.22,1,level4
484.41,3.50,1,cue-hard
489.51,1.90,1,level4
498.60,3.50,1,cue-easy
503.68,0.85,1,level1
512.76,3.50,1,cue-easy
517.86,1.79,1,level2
