onset,duration,weight,trial_type
0.00,0.00,0,error
3.09,3.50,1,cue-easy
8.19,1.97,1,level3
17.26,3.50,1,cue-hard
22.34,3.94,1,level5
31.41,3.50,1,cue-easy
36.49,1.40,1,level2
45.56,3.50,1,cue-hard
50.64,3.49,1,level4
59.71,3.50,1,cue-hard
64.79,4.63,1,level6
73.86,3.50,1,cue-hard
78.94,4.48,1,level6
87.99,3.50,1,cue-easy
93.08,0.82,1,level1
102.14,3.50,1,cue-easy
107.23,1.51,1,level3
116.29,3.50,1,cue-easy
121.36,2.43,1,level3
130.43,3.50,1,cue-easy
135.51,1.81,1,level2
144.56,3.50,1,cue-easy
149.63,1.47,1,level2
158.69,3.50,1,cue-hard
163.78,4.95,1,level6
172.84,3.50,1,cue-hard
177.93,2.10,1,level4
186.99,3.50,1,cue-hard
192.06,2.70,1,level4
201.11,3.50,1,cue-hard
206.18,3.82,1,level5
215.25,3.50,1,cue-hard
220.33,3.75,1,level5
229.40,3.50,1,cue-easy
234.48,0.88,1,level1
243.53,3.50,1,cue-hard
248.61,2.18,1,level4
257.68,3.50,1,cue-easy
262.76,2.48,1,level2
271.83,3.50,1,cue-easy
276.91,0.72,1,level1
286.00,3.50,1,cue-hard
291.08,3.17,1,level5
300.15,3.50,1,cue-easy
305.25,2.59,1,level3
314.31,3.50,1,cue-hard
319.40,1.62,1,level4
328.46,3.50,1,cue-easy
333.56,1.73,1,level3
342.65,3.50,1,cue-hard
347.73,3.87,1,level6
356.82,3.50,1,cue-easy
361.90,2.61,1,level3
370.97,3.50,1,cue-easy
376.05,0.84,1,level1
385.13,3.50,1,cue-easy
390.23,1.20,1,level2
399.32,3.50,1,cue-hard
404.40,2.59,1,level5
413.47,3.50,1,cue-hard
418.55,2.13,1,level4
427.63,3.50,1,cue-easy
432.72,0.94,1,level1
441.80,3.50,1,cue-easy
446.88,0.76,1,level1
455.97,3.50,1,cue-hard
461.07,4.64,1,level6
470.15,3.50,1,cue-hard
475.23,1.64,1,level5
484.32,3.50,1,cue-hard
489.40,2.94,1,level6
498.47,3.50,1,cue-easy
503.57,1.68,1,level2
512.65,3.50,1,cue-easy
517.74,1.99,1,level3
