onset,duration,weight,trial_type
3.09,3.50,1,cue-hard
8.19,3.30,1,level4
17.26,3.50,1,cue-easy
22.33,2.74,1,level2
31.39,3.50,1,cue-easy
36.48,0.90,1,level1
45.54,3.50,1,cue-easy
50.61,1.83,1,level3
59.66,3.50,1,cue-hard
64.73,3.62,1,level6
73.79,3.50,1,cue-hard
78.88,1.56,1,level4
87.93,3.50,1,cue-easy
93.01,3.04,1,level3
102.08,3.50,1,cue-hard
107.14,1.43,1,level4
116.21,3.50,1,cue-hard
121.29,3.44,1,level6
130.36,3.50,1,cue-hard
135.44,4.26,1,error
144.51,3.50,1,cue-hard
149.60,3.99,1,level5
158.66,3.50,1,cue-hard
163.75,2.48,1,level4
172.81,3.50,1,cue-easy
177.90,0.80,1,level1
186.96,3.50,1,cue-hard
192.03,3.03,1,level6
201.10,3.50,1,cue-easy
206.18,2.20,1,level3
215.25,3.50,1,cue-easy
220.33,1.84,1,level2
229.40,3.50,1,cue-easy
234.48,2.24,1,level3
243.55,3.50,1,cue-easy
248.61,2.95,1,level3
257.68,3.50,1,cue-easy
262.76,0.80,1,level1
271.83,3.50,1,cue-easy
276.91,0.89,1,level1
286.00,3.50,1,cue-hard
291.10,2.39,1,level4
300.17,3.50,1,cue-hard
305.25,2.19,1,level5
314.32,3.50,1,cue-easy
319.42,3.18,1,level3
328.50,3.50,1,cue-hard
333.58,4.67,1,level5
342.65,3.50,1,cue-easy
347.73,0.77,1,level1
356.82,3.50,1,cue-hard
361.90,3.80,1,level5
370.98,3.50,1,cue-hard
376.07,4.56,1,level5
385.15,3.50,1,cue-hard
390.23,3.86,1,level6
399.32,3.50,1,cue-easy
404.42,1.05,1,level2
413.48,3.50,1,cue-hard
418.58,4.40,1,error
427.67,3.50,1,cue-easy
432.75,0.71,1,level1
441.84,3.50,1,cue-easy
446.92,0.91,1,level2
455.99,3.50,1,cue-easy
461.07,2.59,1,level2
470.14,3.50,1,cue-hard
475.22,3.60,1,level5
484.30,3.50,1,cue-easy
489.39,1.88,1,level2
498.45,3.50,1,cue-hard
503.54,2.66,1,level4
512.60,3.50,1,cue-hard
517.69,2.33,1,level4
