onset,duration,weight,trial_type
3.11,3.50,1,cue-easy
8.23,1.35,1,level2
17.29,3.50,1,cue-easy
22.38,1.05,1,level1
31.44,3.50,1,cue-hard
36.53,3.41,1,error
45.59,3.50,1,cue-easy
50.68,0.84,1,level1
59.74,3.50,1,cue-easy
64.81,1.75,1,level3
73.88,3.50,1,cue-easy
78.94,1.70,1,level2
88.01,3.50,1,cue-easy
93.09,1.64,1,level3
102.16,3.50,1,cue-easy
107.24,0.93,1,level1
116.31,3.50,1,cue-hard
121.39,3.09,1,level5
130.46,3.50,1,cue-hard
135.53,3.65,1,level6
144.58,3.50,1,cue-hard
149.65,3.64,1,level6
158.71,3.50,1,cue-hard
163.80,2.32,1,level5
172.86,3.50,1,cue-hard
177.93,3.10,1,level4
187.00,3.50,1,cue-easy
192.08,3.02,1,level2
201.15,3.50,1,cue-easy
206.21,4.39,1,level2
215.28,3.50,1,cue-hard
220.35,5.27,1,level6
229.41,3.50,1,cue-easy
234.50,3.10,1,level3
243.56,3.50,1,cue-hard
248.65,3.90,1,level5
257.71,3.50,1,cue-easy
262.78,1.13,1,level2
271.85,3.50,1,cue-hard
276.93,3.97,1,error
286.01,3.50,1,cue-easy
291.10,4.27,1,level3
300.17,3.50,1,cue-hard
305.25,3.66,1,level4
314.32,3.50,1,cue-hard
319.42,4.12,1,error
328.50,3.50,1,cue-hard
333.60,2.62,1,level4
342.67,3.50,1,cue-hard
347.77,4.07,1,level4
356.85,3.50,1,cue-easy
361.93,0.82,1,level1
371.00,3.50,1,cue-hard
376.08,3.04,1,level4
385.15,3.50,1,cue-hard
390.23,2.25,1,level5
399.30,3.50,1,cue-hard
404.38,2.42,1,level5
413.47,3.50,1,cue-easy
418.55,0.80,1,level1
427.63,3.50,1,cue-easy
432.73,1.00,1,level1
441.82,3.50,1,cue-easy
446.90,1.44,1,level2
455.99,3.50,1,cue-hard
461.09,2.20,1,level4
470.17,3.50,1,cue-easy
475.27,2.33,1,level3
484.35,3.50,1,cue-easy
489.44,1.14,1,level3
498.52,3.50,1,cue-hard
503.62,3.35,1,level6
512.70,3.50,1,cue-easy
517.80,1.21,1,level2
