onset,duration,weight,trial_type
3.10,3.50,1,cue-easy
8.22,0.89,1,level1
17.29,3.50,1,cue-hard
22.37,2.57,1,level4
31.44,3.50,1,cue-easy
36.55,1.03,1,level2
45.62,3.50,1,cue-easy
50.69,0.76,1,level1
59.75,3.50,1,cue-easy
64.82,0.94,1,level2
73.89,3.50,1,cue-hard
78.97,1.93,1,level4
88.02,3.50,1,cue-easy
93.09,2.13,1,level3
102.14,3.50,1,cue-hard
107.22,3.22,1,level6
116.29,3.50,1,cue-easy
121.37,1.89,1,level3
130.44,3.50,1,cue-easy
135.51,1.36,1,level3
144.56,3.50,1,cue-easy
149.62,1.02,1,level2
158.71,3.50,1,cue-hard
163.77,2.34,1,level5
172.84,3.50,1,cue-hard
177.92,1.83,1,level4
186.99,3.50,1,cue-hard
192.07,2.76,1,error
201.14,3.50,1,cue-easy
206.22,1.22,1,level2
215.29,3.50,1,cue-easy
220.37,2.57,1,level3
229.44,3.50,1,cue-easy
234.52,0.84,1,level1
243.57,3.50,1,cue-easy
248.66,1.35,1,level3
257.72,3.50,1,cue-hard
262.79,3.17,1,level5
271.87,3.50,1,cue-easy
276.97,1.20,1,level1
286.06,3.50,1,cue-hard
291.16,2.73,1,level5
300.24,3.50,1,cue-easy
305.34,1.22,1,level2
314.43,3.50,1,cue-easy
319.51,0.98,1,level2
328.59,3.50,1,cue-hard
333.68,3.42,1,error
342.76,3.50,1,cue-hard
347.86,2.15,1,level4
356.94,3.50,1,cue-hard
362.03,2.82,1,level5
371.11,3.50,1,cue-hard
376.19,3.36,1,level6
385.28,3.50,1,cue-hard
390.36,3.62,1,level6
399.44,3.50,1,cue-hard
404.54,2.96,1,level5
413.61,3.50,1,cue-hard
418.69,4.55,1,level5
427.76,3.50,1,cue-easy
432.86,2.16,1,level3
441.95,3.50,1,cue-hard
447.03,3.29,1,level4
456.10,3.50,1,cue-hard
461.20,3.05,1,level4
470.28,3.50,1,cue-easy
475.36,1.04,1,level1
484.43,3.50,1,cue-hard
489.51,4.08,1,error
498.60,3.50,1,cue-easy
503.70,0.87,1,level1
512.78,3.50,1,cue-easy
517.88,0.97,1,level1
