onset,duration,weight,trial_type
3.11,3.50,1,cue-easy
8.21,3.29,1,level3
17.28,3.50,1,cue-hard
22.36,2.89,1,level4
31.43,3.50,1,cue-hard
36.51,3.12,1,error
45.58,3.50,1,cue-easy
50.64,4.06,1,level3
59.71,3.50,1,cue-easy
64.79,1.25,1,level2
73.86,3.50,1,cue-hard
78.94,3.30,1,level5
88.01,3.50,1,cue-easy
93.08,1.02,1,level2
102.14,3.50,1,cue-easy
107.23,1.57,1,level2
116.29,3.50,1,cue-hard
121.36,4.58,1,level6
130.43,3.50,1,cue-hard
135.49,4.73,1,error
144.56,3.50,1,cue-easy
149.65,1.10,1,level2
158.71,3.50,1,cue-hard
163.78,2.58,1,level4
172.85,3.50,1,cue-easy
177.93,0.96,1,level1
187.00,3.50,1,cue-easy
192.06,1.06,1,level2
201.13,3.50,1,cue-easy
206.20,0.94,1,level1
215.26,3.50,1,cue-hard
220.35,3.09,1,level4
229.41,3.50,1,cue-hard
234.48,4.97,1,level6
243.55,3.50,1,cue-easy
248.61,0.84,1,level1
257.68,3.50,1,cue-easy
262.76,0.84,1,level1
271.83,3.50,1,cue-hard
276.91,2.95,1,level6
285.98,3.50,1,cue-easy
291.06,3.38,1,level3
300.13,3.50,1,cue-easy
305.22,2.15,1,level3
314.30,3.50,1,cue-easy
319.38,0.97,1,level1
328.47,3.50,1,cue-hard
333.55,2.90,1,level5
342.62,3.50,1,cue-hard
347.70,4.21,1,level6
356.78,3.50,1,cue-hard
361.87,2.54,1,level5
370.95,3.50,1,cue-hard
376.03,2.23,1,level4
385.10,3.50,1,cue-easy
390.20,1.24,1,level2
399.28,3.50,1,cue-easy
404.37,2.61,1,level3
413.43,3.50,1,cue-hard
418.52,4.52,1,level6
427.60,3.50,1,cue-hard
432.70,3.84,1,level4
441.78,3.50,1,cue-hard
446.87,3.06,1,level5
455.95,3.50,1,cue-hard
461.05,3.57,1,level5
470.14,3.50,1,cue-easy
475.24,1.09,1,level1
484.30,3.50,1,cue-easy
489.39,3.81,1,level3
498.45,3.50,1,cue-hard
503.54,3.32,1,level5
512.62,3.50,1,cue-easy
517.70,3.76,1,level3
