onset,duration,weight,trial_type
3.11,3.50,1,cue-hard
8.21,6.00,1,level5
17.27,3.50,1,cue-hard
22.36,3.92,1,level5
31.42,3.50,1,cue-hard
36.51,4.35,1,level4
45.57,3.50,1,cue-hard
50.66,5.43,1,level6
59.73,3.50,1,cue-easy
64.81,1.67,1,level2
73.88,3.50,1,cue-hard
78.96,5.84,1,level6
88.03,3.50,1,cue-hard
93.11,4.89,1,error
102.18,3.50,1,cue-easy
107.26,2.58,1,level2
116.33,3.50,1,cue-easy
121.41,3.59,1,level2
130.48,3.50,1,cue-easy
135.54,2.67,1,level3
144.61,3.50,1,cue-easy
149.69,2.32,1,level3
158.76,3.50,1,cue-hard
163.83,4.21,1,level6
172.89,3.50,1,cue-hard
177.96,1.93,1,level4
187.03,3.50,1,cue-hard
192.09,1.84,1,level4
201.16,3.50,1,cue-easy
206.23,2.00,1,level3
215.30,3.50,1,cue-easy
220.38,1.12,1,level1
229.45,3.50,1,cue-hard
234.53,5.38,1,level6
243.60,3.50,1,cue-hard
248.68,4.87,1,level6
257.76,3.50,1,cue-easy
262.86,2.28,1,level3
271.95,3.50,1,cue-hard
277.03,5.00,1,level5
286.10,3.50,1,cue-easy
291.18,0.98,1,level1
300.25,3.50,1,cue-easy
305.35,3.78,1,level3
314.43,3.50,1,cue-easy
319.51,1.74,1,level2
328.60,3.50,1,cue-easy
333.68,1.12,1,level1
342.77,3.50,1,cue-easy
347.85,1.36,1,level2
356.93,3.50,1,cue-hard
362.02,2.84,1,level4
371.10,3.50,1,cue-easy
376.18,1.98,1,level2
385.25,3.50,1,cue-hard
390.33,4.39,1,level5
399.42,3.50,1,cue-hard
404.50,4.22,1,level6
413.57,3.50,1,cue-easy
418.65,1.31,1,level1
427.73,3.50,1,cue-hard
432.83,4.15,1,level4
441.92,3.50,1,cue-easy
447.00,0.82,1,level1
456.08,3.50,1,cue-easy
461.17,0.92,1,level1
470.25,3.50,1,cue-hard
475.35,4.55,1,level5
484.44,3.50,1,cue-easy
489.52,3.31,1,level3
498.60,3.50,1,cue-hard
503.70,4.16,1,level4
512.79,3.50,1,cue-hard
517.89,3.58,1,level5
