onset,duration,weight,trial_type
3.10,3.50,1,cue-first
8.22,6.00,1,task-first
17.28,3.50,1,cue-hard_hard
22.37,6.00,1,error
31.43,3.50,1,cue-hard_hard
36.52,4.74,1,error
45.58,3.50,1,cue-hard_hard
50.65,4.82,1,task-hard_hard
59.72,3.50,1,cue-hard_hard
64.80,3.15,1,task-hard_hard
73.87,3.50,1,cue-hard_easy
78.95,1.08,1,task-hard_easy
88.02,3.50,1,cue-easy_hard
93.10,4.85,1,task-easy_hard
102.17,3.50,1,cue-hard_easy
107.24,0.85,1,task-hard_easy
116.30,3.50,1,cue-easy_hard
121.39,3.12,1,task-easy_hard
130.45,3.50,1,cue-hard_hard
135.52,2.83,1,task-hard_hard
144.59,3.50,1,cue-hard_easy
149.67,0.74,1,task-hard_easy
158.74,3.50,1,cue-easy_hard
163.82,3.95,1,task-easy_hard
172.89,3.50,1,cue-hard_hard
177.97,3.16,1,task-hard_hard
187.04,3.50,1,cue-hard_easy
192.12,2.42,1,task-hard_easy
201.19,3.50,1,cue-easy_hard
206.27,5.02,1,task-easy_hard
215.34,3.50,1,cue-hard_hard
220.41,3.68,1,task-hard_hard
229.47,3.50,1,cue-hard_easy
234.54,0.79,1,task-hard_easy
243.61,3.50,1,cue-easy_easy
248.69,2.25,1,task-easy_easy
257.76,3.50,1,cue-easy_easy
262.86,3.69,1,task-easy_easy
271.92,3.50,1,cue-easy_easy
277.01,1.49,1,task-easy_easy
286.07,3.50,1,cue-easy_hard
291.17,2.69,1,task-easy_hard
300.26,3.50,1,cue-hard_hard
305.34,1.58,1,task-hard_hard
314.41,3.50,1,cue-hard_hard
319.51,4.74,1,task-hard_hard
328.57,3.50,1,cue-hard_easy
333.66,2.32,1,task-hard_easy
342.74,3.50,1,cue-easy_hard
347.82,3.24,1,task-easy_hard
356.89,3.50,1,cue-hard_easy
361.98,2.23,1,task-hard_easy
371.06,3.50,1,cue-easy_easy
376.14,0.74,1,task-easy_easy
385.21,3.50,1,cue-easy_easy
390.31,1.25,1,task-easy_easy
399.38,3.50,1,cue-easy_easy
404.48,1.22,1,task-easy_easy
413.56,3.50,1,cue-easy_easy
418.64,0.95,1,task-easy_easy
427.73,3.50,1,cue-easy_hard
432.81,4.65,1,task-easy_hard
441.89,3.50,1,cue-hard_easy
446.98,2.08,1,task-hard_easy
456.04,3.50,1,cue-easy_easy
461.13,1.79,1,error
470.21,3.50,1,cue-easy_hard
475.29,3.74,1,task-easy_hard
484.38,3.50,1,cue-hard_easy
489.48,2.39,1,task-hard_easy
498.56,3.50,1,cue-easy_easy
503.66,2.74,1,error
512.75,3.50,1,cue-easy_hard
517.85,6.00,1,error
