onset,duration,weight,trial_type
3.10,3.50,1,cue-hard
8.22,4.25,1,level6
17.29,3.50,1,cue-easy
22.37,1.75,1,level2
31.44,3.50,1,cue-hard
36.52,4.14,1,level6
45.59,3.50,1,cue-hard
50.67,4.14,1,level6
59.74,3.50,1,cue-easy
64.80,3.13,1,level3
73.85,3.50,1,cue-hard
78.92,3.76,1,level6
87.99,3.50,1,cue-hard
93.07,2.46,1,level4
102.12,3.50,1,cue-easy
107.21,1.90,1,level3
116.26,3.50,1,cue-easy
121.34,3.36,1,level3
130.41,3.50,1,cue-easy
135.49,0.80,1,level1
144.56,3.50,1,cue-hard
149.64,4.59,1,level6
158.69,3.50,1,cue-hard
163.77,3.28,1,error
172.82,3.50,1,cue-hard
177.89,5.31,1,level5
186.94,3.50,1,cue-easy
192.01,2.33,1,level3
201.07,3.50,1,cue-hard
206.16,5.02,1,error
215.22,3.50,1,cue-easy
220.31,1.06,1,level2
229.38,3.50,1,cue-easy
234.44,2.69,1,level3
243.51,3.50,1,cue-easy
248.59,6.00,1,error
257.68,3.50,1,cue-easy
262.78,3.01,1,level2
271.84,3.50,1,cue-easy
276.93,1.06,1,level1
285.99,3.50,1,cue-easy
291.09,2.68,1,level3
300.16,3.50,1,cue-hard
305.26,2.29,1,level4
314.33,3.50,1,cue-hard
319.43,2.10,1,level5
328.51,3.50,1,cue-hard
333.59,4.88,1,level6
342.68,3.50,1,cue-easy
347.76,1.07,1,level1
356.83,3.50,1,cue-hard
361.91,5.30,1,error
371.00,3.50,1,cue-hard
376.10,2.88,1,level4
385.18,3.50,1,cue-easy
390.26,1.13,1,level2
399.35,3.50,1,cue-hard
404.45,3.93,1,level5
413.53,3.50,1,cue-easy
418.63,0.96,1,level1
427.70,3.50,1,cue-easy
432.78,1.09,1,level1
441.86,3.50,1,cue-hard
446.95,2.79,1,level4
456.03,3.50,1,cue-hard
461.13,2.87,1,level4
470.21,3.50,1,cue-easy
475.31,0.77,1,level1
484.40,3.50,1,cue-easy
489.50,2.35,1,level2
498.58,3.50,1,cue-hard
503.68,2.33,1,level4
512.77,3.50,1,cue-hard
517.87,5.41,1,level6
