onset,duration,weight,trial_type
3.11,3.50,1,cue-hard
8.22,3.60,1,level6
17.29,3.50,1,cue-easy
22.37,1.36,1,level2
31.42,3.50,1,cue-hard
36.51,1.96,1,level4
45.57,3.50,1,cue-easy
50.66,0.80,1,level1
59.72,3.50,1,cue-easy
64.81,2.51,1,level2
73.88,3.50,1,cue-easy
78.96,1.27,1,level3
88.03,3.50,1,cue-hard
93.09,3.19,1,level5
102.16,3.50,1,cue-easy
107.24,0.94,1,level1
116.31,3.50,1,cue-easy
121.39,0.90,1,level1
130.46,3.50,1,cue-hard
135.53,1.89,1,level4
144.59,3.50,1,cue-easy
149.68,1.25,1,error
158.74,3.50,1,cue-easy
163.81,2.36,1,level2
172.88,3.50,1,cue-easy
177.96,1.13,1,level2
187.03,3.50,1,cue-hard
192.09,1.72,1,level5
201.16,3.50,1,cue-hard
206.24,3.76,1,level4
215.31,3.50,1,cue-easy
220.40,1.72,1,level2
229.46,3.50,1,cue-easy
234.55,0.75,1,level1
243.61,3.50,1,cue-easy
248.68,1.40,1,level3
257.75,3.50,1,cue-hard
262.83,1.76,1,level4
271.91,3.50,1,cue-hard
277.00,4.40,1,error
286.06,3.50,1,cue-hard
291.15,3.18,1,level5
300.23,3.50,1,cue-hard
305.33,3.44,1,level6
314.41,3.50,1,cue-hard
319.50,3.23,1,level5
328.56,3.50,1,cue-easy
333.66,2.10,1,level3
342.73,3.50,1,cue-hard
347.81,3.31,1,level6
356.88,3.50,1,cue-hard
361.96,2.81,1,level6
371.03,3.50,1,cue-easy
376.13,1.13,1,level1
385.22,3.50,1,cue-hard
390.30,1.89,1,error
399.38,3.50,1,cue-easy
404.47,1.87,1,level2
413.55,3.50,1,cue-hard
418.63,2.46,1,level6
427.72,3.50,1,cue-hard
432.80,3.88,1,level4
441.87,3.50,1,cue-hard
446.95,1.82,1,level4
456.03,3.50,1,cue-hard
461.13,2.18,1,level6
470.22,3.50,1,cue-easy
475.32,2.92,1,level3
484.40,3.50,1,cue-easy
489.48,1.55,1,level3
498.55,3.50,1,cue-easy
503.63,0.83,1,level1
512.70,3.50,1,cue-hard
517.80,3.07,1,level6
