onset,duration,weight,trial_type
3.10,3.50,1,cue-hard
8.22,1.30,1,level4
17.28,3.50,1,cue-easy
22.37,0.82,1,level1
31.43,3.50,1,cue-hard
36.50,3.12,1,level6
45.57,3.50,1,cue-easy
50.63,0.73,1,level1
59.70,3.50,1,cue-hard
64.78,2.38,1,level5
73.85,3.50,1,cue-hard
78.92,2.20,1,level5
87.99,3.50,1,cue-easy
93.07,1.66,1,level2
102.14,3.50,1,cue-hard
107.22,2.12,1,error
116.29,3.50,1,cue-hard
121.37,6.00,1,error
130.44,3.50,1,cue-easy
135.52,2.62,1,level3
144.59,3.50,1,cue-easy
149.67,0.81,1,level1
158.74,3.50,1,cue-easy
163.82,2.08,1,level2
172.89,3.50,1,cue-easy
177.97,1.89,1,error
187.04,3.50,1,cue-easy
192.10,0.81,1,level1
201.17,3.50,1,cue-easy
206.25,0.70,1,level1
215.30,3.50,1,cue-easy
220.37,1.82,1,level3
229.44,3.50,1,cue-easy
234.52,2.32,1,level3
243.59,3.50,1,cue-hard
248.67,2.66,1,level6
257.74,3.50,1,cue-hard
262.82,4.02,1,level5
271.91,3.50,1,cue-easy
276.99,2.33,1,level3
286.06,3.50,1,cue-easy
291.16,1.94,1,level2
300.24,3.50,1,cue-hard
305.34,1.83,1,level4
314.41,3.50,1,cue-hard
319.49,4.39,1,level6
328.56,3.50,1,cue-easy
333.64,2.24,1,level2
342.71,3.50,1,cue-hard
347.79,2.44,1,level5
356.87,3.50,1,cue-hard
361.97,4.31,1,level6
371.06,3.50,1,cue-hard
376.14,3.08,1,level4
385.23,3.50,1,cue-hard
390.33,4.70,1,level5
399.41,3.50,1,cue-easy
404.49,0.72,1,level1
413.58,3.50,1,cue-hard
418.68,2.92,1,level4
427.76,3.50,1,cue-easy
432.84,2.39,1,level2
441.91,3.50,1,cue-easy
447.01,1.16,1,level3
456.09,3.50,1,cue-hard
461.19,1.33,1,level4
470.28,3.50,1,cue-hard
475.38,2.33,1,error
484.46,3.50,1,cue-easy
489.56,1.78,1,level3
498.64,3.50,1,cue-hard
503.74,4.23,1,error
512.83,3.50,1,cue-hard
517.91,2.47,1,level4
