onset,duration,weight,trial_type
3.07,3.50,1,cue-easy
8.17,1.01,1,level1
17.22,3.50,1,cue-hard
22.29,3.09,1,level6
31.36,3.50,1,cue-hard
36.42,2.93,1,level5
45.47,3.50,1,cue-easy
50.56,3.08,1,level2
59.61,3.50,1,cue-hard
64.67,3.49,1,level6
73.74,3.50,1,cue-easy
78.81,1.76,1,level3
87.86,3.50,1,cue-easy
92.92,1.34,1,level2
101.97,3.50,1,cue-easy
107.06,0.92,1,level1
116.12,3.50,1,cue-hard
121.19,3.83,1,level5
130.24,3.50,1,cue-easy
135.31,0.83,1,level1
144.37,3.50,1,cue-easy
149.44,2.06,1,level3
158.51,3.50,1,cue-hard
163.57,2.90,1,level6
172.63,3.50,1,cue-easy
177.71,1.52,1,level2
186.78,3.50,1,cue-easy
191.86,2.63,1,level3
200.93,3.50,1,cue-easy
206.01,0.97,1,level1
215.08,3.50,1,cue-easy
220.14,0.87,1,level1
229.21,3.50,1,cue-easy
234.31,1.86,1,level2
243.38,3.50,1,cue-hard
248.48,2.93,1,level5
257.54,3.50,1,cue-hard
262.63,2.35,1,level4
271.71,3.50,1,cue-easy
276.81,1.78,1,level2
285.89,3.50,1,cue-easy
290.98,1.12,1,level2
300.04,3.50,1,cue-hard
305.14,1.88,1,level4
314.21,3.50,1,cue-hard
319.31,2.13,1,level4
328.38,3.50,1,cue-easy
333.46,1.60,1,level3
342.53,3.50,1,cue-easy
347.63,1.66,1,level3
356.70,3.50,1,cue-hard
361.78,3.34,1,level5
370.86,3.50,1,cue-easy
375.95,3.21,1,level3
385.01,3.50,1,cue-hard
390.10,2.91,1,level4
399.16,3.50,1,cue-easy
404.25,0.94,1,level1
413.33,3.50,1,cue-hard
418.41,2.13,1,level4
427.48,3.50,1,cue-hard
432.56,2.50,1,error
441.65,3.50,1,cue-hard
446.73,2.69,1,level5
455.80,3.50,1,cue-hard
460.90,3.10,1,level6
469.98,3.50,1,cue-hard
475.07,2.55,1,level4
484.15,3.50,1,cue-hard
489.23,3.55,1,level6
498.30,3.50,1,cue-hard
503.38,2.62,1,level6
512.45,3.50,1,cue-easy
517.53,1.11,1,level1
