onset,duration,weight,trial_type
3.11,3.50,1,cue-hard
8.23,4.08,1,level5
17.29,3.50,1,cue-hard
22.39,3.42,1,level6
31.46,3.50,1,cue-hard
36.54,5.54,1,level6
45.61,3.50,1,cue-easy
50.68,0.95,1,level1
59.74,3.50,1,cue-easy
64.81,6.00,1,error
73.88,3.50,1,cue-easy
78.96,1.73,1,level2
88.03,3.50,1,cue-easy
93.11,3.03,1,level2
102.18,3.50,1,cue-hard
107.26,3.87,1,level6
116.33,3.50,1,cue-hard
121.39,4.27,1,error
130.46,3.50,1,cue-easy
135.54,3.82,1,level3
144.61,3.50,1,cue-easy
149.70,4.76,1,error
158.76,3.50,1,cue-hard
163.85,4.14,1,level5
172.91,3.50,1,cue-hard
177.98,4.84,1,level5
187.05,3.50,1,cue-easy
192.11,2.29,1,level2
201.18,3.50,1,cue-easy
206.26,1.67,1,level1
215.33,3.50,1,cue-hard
220.41,4.25,1,level4
229.46,3.50,1,cue-hard
234.55,4.45,1,error
243.60,3.50,1,cue-easy
248.68,3.57,1,level3
257.75,3.50,1,cue-hard
262.83,3.90,1,level4
271.91,3.50,1,cue-easy
277.00,5.40,1,level2
286.08,3.50,1,cue-easy
291.16,3.78,1,level3
300.23,3.50,1,cue-easy
305.32,1.40,1,level1
314.38,3.50,1,cue-hard
319.47,5.58,1,level5
328.53,3.50,1,cue-easy
333.62,1.03,1,level1
342.68,3.50,1,cue-easy
347.77,4.08,1,level2
356.83,3.50,1,cue-hard
361.92,5.18,1,level4
371.00,3.50,1,cue-easy
376.08,1.16,1,level1
385.15,3.50,1,cue-easy
390.23,1.42,1,level1
399.32,3.50,1,cue-hard
404.40,5.38,1,level6
413.47,3.50,1,cue-hard
418.57,4.35,1,level4
427.65,3.50,1,cue-hard
432.75,4.28,1,level4
441.84,3.50,1,cue-hard
446.94,3.72,1,level5
456.02,3.50,1,cue-hard
461.10,6.00,1,error
470.19,3.50,1,cue-easy
475.27,3.86,1,level3
484.35,3.50,1,cue-hard
489.44,4.37,1,level6
498.50,3.50,1,cue-easy
503.60,3.41,1,level2
512.67,3.50,1,cue-hard
517.75,3.51,1,level5
