onset,duration,weight,trial_type
3.10,3.50,1,cue-easy
8.22,2.29,1,level3
17.28,3.50,1,cue-hard
22.38,3.13,1,level5
31.45,3.50,1,cue-hard
36.53,1.72,1,level5
45.60,3.50,1,cue-hard
50.68,4.91,1,level6
59.75,3.50,1,cue-hard
64.82,4.80,1,error
73.88,3.50,1,cue-hard
78.95,3.64,1,level5
88.02,3.50,1,cue-easy
93.08,2.47,1,level2
102.15,3.50,1,cue-hard
107.23,3.16,1,error
116.30,3.50,1,cue-hard
121.39,4.43,1,level6
130.45,3.50,1,cue-easy
135.54,3.32,1,level3
144.60,3.50,1,cue-easy
149.67,0.73,1,level1
158.74,3.50,1,cue-easy
163.80,0.82,1,level1
172.87,3.50,1,cue-hard
177.95,5.02,1,level6
187.02,3.50,1,cue-hard
192.09,2.52,1,level4
201.15,3.50,1,cue-hard
206.24,4.25,1,error
215.30,3.50,1,cue-hard
220.39,4.65,1,level4
229.45,3.50,1,cue-easy
234.54,2.24,1,level1
243.60,3.50,1,cue-easy
248.69,2.05,1,level2
257.75,3.50,1,cue-hard
262.84,4.59,1,level5
271.92,3.50,1,cue-easy
277.01,0.81,1,level1
286.07,3.50,1,cue-easy
291.16,3.24,1,error
300.24,3.50,1,cue-hard
305.34,4.42,1,level4
314.42,3.50,1,cue-hard
319.51,4.21,1,level4
328.57,3.50,1,cue-easy
333.66,4.52,1,level3
342.74,3.50,1,cue-hard
347.84,3.52,1,level6
356.92,3.50,1,cue-easy
362.01,2.94,1,level2
371.07,3.50,1,cue-hard
376.16,4.32,1,level6
385.24,3.50,1,cue-easy
390.32,0.69,1,level1
399.39,3.50,1,cue-hard
404.49,3.16,1,level5
413.56,3.50,1,cue-easy
418.64,6.00,1,level3
427.71,3.50,1,cue-easy
432.79,2.10,1,level2
441.88,3.50,1,cue-easy
446.96,2.72,1,error
456.04,3.50,1,cue-easy
461.14,1.33,1,level1
470.21,3.50,1,cue-hard
475.29,2.51,1,level4
484.36,3.50,1,cue-easy
489.46,2.39,1,level2
498.54,3.50,1,cue-easy
503.63,3.29,1,level3
512.71,3.50,1,cue-easy
517.81,2.82,1,level3
