onset,duration,weight,trial_type
3.10,3.50,1,cue-easy
8.22,1.04,1,level1
17.29,3.50,1,cue-hard
22.35,2.61,1,level4
31.40,3.50,1,cue-hard
36.47,3.64,1,level4
45.52,3.50,1,cue-hard
50.60,4.21,1,level6
59.65,3.50,1,cue-easy
64.72,4.89,1,level3
73.77,3.50,1,cue-easy
78.84,1.08,1,level1
87.89,3.50,1,cue-easy
92.97,1.30,1,level1
102.02,3.50,1,cue-hard
107.09,5.30,1,error
116.14,3.50,1,cue-hard
121.20,3.75,1,level5
130.27,3.50,1,cue-easy
135.34,3.58,1,level3
144.39,3.50,1,cue-hard
149.45,4.13,1,level6
158.50,3.50,1,cue-hard
163.57,4.00,1,level5
172.64,3.50,1,cue-easy
177.71,1.45,1,level2
186.76,3.50,1,cue-hard
191.82,3.21,1,level4
200.87,3.50,1,cue-easy
205.94,1.39,1,level2
214.99,3.50,1,cue-easy
220.06,5.52,1,level3
229.12,3.50,1,cue-easy
234.19,2.52,1,level2
243.24,3.50,1,cue-hard
248.31,4.97,1,level5
257.37,3.50,1,cue-hard
262.44,3.80,1,level4
271.51,3.50,1,cue-easy
276.59,2.21,1,level3
285.66,3.50,1,cue-hard
290.74,4.99,1,level5
299.81,3.50,1,cue-hard
304.89,5.14,1,level6
313.96,3.50,1,cue-hard
319.04,6.00,1,error
328.13,3.50,1,cue-easy
333.23,1.73,1,level1
342.29,3.50,1,cue-easy
347.38,1.73,1,level2
356.46,3.50,1,cue-easy
361.54,2.71,1,level2
370.61,3.50,1,cue-hard
375.71,5.46,1,level6
384.78,3.50,1,cue-easy
389.86,1.98,1,level2
398.93,3.50,1,cue-easy
404.03,1.63,1,level1
413.09,3.50,1,cue-easy
418.18,2.48,1,level3
427.24,3.50,1,cue-easy
432.33,4.46,1,level3
441.39,3.50,1,cue-hard
446.48,3.61,1,level4
455.54,3.50,1,cue-easy
460.63,1.05,1,level1
469.69,3.50,1,cue-hard
474.78,3.35,1,level6
483.85,3.50,1,cue-hard
488.93,1.80,1,level4
498.00,3.50,1,cue-hard
503.08,4.81,1,level5
512.15,3.50,1,cue-easy
517.23,1.26,1,level1
