onset,duration,weight,trial_type
3.10,3.50,1,cue-first
8.20,1.94,1,task-first
17.25,3.50,1,cue-easy_easy
22.32,1.26,1,task-easy_easy
31.37,3.50,1,cue-easy_easy
36.46,2.34,1,task-easy_easy
45.51,3.50,1,cue-easy_easy
50.57,0.93,1,task-easy_easy
59.62,3.50,1,cue-easy_easy
64.69,4.96,1,task-easy_easy
73.74,3.50,1,cue-easy_hard
78.81,2.83,1,task-easy_hard
87.86,3.50,1,cue-hard_hard
92.92,3.66,1,task-hard_hard
101.97,3.50,1,cue-hard_hard
107.06,4.87,1,task-hard_hard
116.12,3.50,1,cue-hard_hard
121.21,3.05,1,task-hard_hard
130.26,3.50,1,cue-hard_hard
135.32,4.31,1,task-hard_hard
144.37,3.50,1,cue-hard_hard
149.44,3.60,1,task-hard_hard
158.51,3.50,1,cue-hard_hard
163.57,2.22,1,task-hard_hard
172.64,3.50,1,cue-hard_easy
177.72,0.92,1,task-hard_easy
186.79,3.50,1,cue-easy_hard
191.86,5.51,1,task-easy_hard
200.91,3.50,1,cue-hard_easy
205.99,1.06,1,task-hard_easy
215.04,3.50,1,cue-easy_hard
220.11,5.33,1,error
229.18,3.50,1,cue-hard_hard
234.26,3.41,1,task-hard_hard
243.31,3.50,1,cue-hard_easy
248.39,1.55,1,task-hard_easy
257.44,3.50,1,cue-easy_hard
262.53,3.03,1,task-easy_hard
271.58,3.50,1,cue-hard_easy
276.64,4.51,1,task-hard_easy
285.71,3.50,1,cue-easy_hard
290.79,2.78,1,task-easy_hard
299.86,3.50,1,cue-hard_hard
304.94,6.00,1,error
314.01,3.50,1,cue-hard_easy
319.09,1.69,1,task-hard_easy
328.16,3.50,1,cue-easy_hard
333.24,5.33,1,task-easy_hard
342.31,3.50,1,cue-hard_easy
347.41,1.35,1,task-hard_easy
356.48,3.50,1,cue-easy_hard
361.56,6.00,1,error
370.65,3.50,1,cue-hard_easy
375.73,1.18,1,task-hard_easy
384.80,3.50,1,cue-easy_hard
389.88,2.77,1,task-easy_hard
398.95,3.50,1,cue-hard_hard
404.03,3.85,1,task-hard_hard
413.11,3.50,1,cue-hard_easy
418.20,2.38,1,task-hard_easy
427.26,3.50,1,cue-easy_hard
432.35,4.51,1,task-easy_hard
441.41,3.50,1,cue-hard_easy
446.50,3.36,1,task-hard_easy
455.56,3.50,1,cue-easy_easy
460.65,2.82,1,task-easy_easy
469.71,3.50,1,cue-easy_easy
474.80,1.30,1,task-easy_easy
483.88,3.50,1,cue-easy_easy
488.96,1.15,1,task-easy_easy
498.05,3.50,1,cue-easy_easy
503.13,3.05,1,task-easy_easy
512.20,3.50,1,cue-easy_easy
517.28,3.21,1,task-easy_easy
