onset,duration,weight,trial_type
3.09,3.50,1,cue-easy
8.19,2.97,1,level3
17.26,3.50,1,cue-hard
22.34,5.09,1,level6
31.41,3.50,1,cue-hard
36.49,2.95,1,level5
45.56,3.50,1,cue-easy
50.64,1.28,1,level2
59.71,3.50,1,cue-easy
64.79,2.94,1,error
73.84,3.50,1,cue-easy
78.91,0.62,1,level1
87.98,3.50,1,cue-hard
93.04,2.46,1,level4
102.11,3.50,1,cue-easy
107.18,1.07,1,level1
116.24,3.50,1,cue-easy
121.33,0.98,1,error
130.38,3.50,1,cue-easy
135.46,2.31,1,level2
144.53,3.50,1,cue-easy
149.60,2.33,1,level3
158.66,3.50,1,cue-hard
163.75,2.87,1,level4
172.81,3.50,1,cue-easy
177.88,3.82,1,level3
186.95,3.50,1,cue-easy
192.01,1.02,1,level1
201.08,3.50,1,cue-hard
206.16,2.61,1,level6
215.23,3.50,1,cue-easy
220.31,0.71,1,level1
229.38,3.50,1,cue-easy
234.46,3.20,1,level3
243.53,3.50,1,cue-easy
248.61,2.95,1,error
257.68,3.50,1,cue-hard
262.76,2.29,1,level4
271.83,3.50,1,cue-hard
276.92,3.76,1,level4
286.00,3.50,1,cue-easy
291.08,1.82,1,level2
300.17,3.50,1,cue-hard
305.27,3.87,1,error
314.35,3.50,1,cue-easy
319.43,1.05,1,level1
328.50,3.50,1,cue-hard
333.60,4.07,1,error
342.68,3.50,1,cue-hard
347.77,4.13,1,level5
356.85,3.50,1,cue-hard
361.93,2.54,1,level4
371.02,3.50,1,cue-hard
376.12,3.68,1,level5
385.18,3.50,1,cue-hard
390.27,3.52,1,level6
399.35,3.50,1,cue-easy
404.45,2.69,1,level2
413.53,3.50,1,cue-hard
418.62,4.40,1,level6
427.70,3.50,1,cue-hard
432.80,3.49,1,level6
441.89,3.50,1,cue-hard
446.97,4.52,1,level4
456.05,3.50,1,cue-hard
461.15,3.87,1,level6
470.24,3.50,1,cue-easy
475.32,4.38,1,level3
484.39,3.50,1,cue-easy
489.47,2.32,1,level3
498.55,3.50,1,cue-hard
503.64,2.30,1,level5
512.72,3.50,1,cue-easy
517.80,4.81,1,level3
